sep=;
name=ipoib_ethtool_speed_support; type=feature; upstream_status=in_progress;
name=erasure_coding; type=feature; upstream_status=NA;
name=ipoib_cm_prints; type=feature; upstream_status=in_progress;
name=ipoib_neigh_time; type=feature; upstream_status=in_progress;
name=rxe_upstream_sync_251216; type=feature; upstream_status=NA;
name=mlx4_rocev2_sriov; type=feature; upstream_status=in_progress;
name=mlx5_autoneg; type=feature; upstream_status=NA;
name=ib_srp_bugs; type=bug; upstream_status=in_progress;
name=mlx4_en_busy_poll; type=feature; upstream_status=NA;
name=ipoib_napi_tx; type=feature; upstream_status=in_progress;
name=ethtool_ring_size_param; type=feature; upstream_status=in_progress;
name=mcam_reg; type=feature; upstream_status=in_progress;
name=mlx4_user_mtu; type=feature; upstream_status=in_progress;
name=ipoib_inline; type=feature; upstream_status=in_progress;
name=mlx4_exp_get_unmapped_area; type=feature; upstream_status=NA;
name=mlx4_flow_spec_gap; type=feature; upstream_status=NA;
name=mlx5_remove_bf; type=feature; upstream_status=in_progress;
name=mlx4_en_only_mode_param; type=feature; upstream_status=NA;
name=mlx4_en_udev_dev_port_dev_id_param; type=feature; upstream_status=NA;
name=umem_debug_prints; type=feature; upstream_status=NA;
name=mlx5_en_dcbx_priv_flag; type=feature; upstream_status=NA;
name=rxe_qp_ref; type=bug; upstream_status=in_progress;
name=ipoib_arp_snooping; type=feature; upstream_status=in_progress;
name=ipoib_bonding; type=feature; upstream_status=NA;
name=ah_from_wc_noarp; type=bug; upstream_status=in_progress;
name=mlx5_en_page_cache; type=feature; upstream_status=in_progress;
name=mlx5e_fixes_4.10; type=bug; upstream_status=in_progress;
name=ib_iser_bugs; type=bug; upstream_status=in_progress;
name=mlx4_fdb_sysfs; type=feature; upstream_status=NA;
name=mlx5_reduce_max_rl_qs; type=bug; upstream_status=NA;
name=mlx5_txq_to_sq_map; type=bug; upstream_status=NA;
name=mpw_ppc_stride_wa; type=bug; upstream_status=in_progress;
name=mlx5_ib_modify_port; type=bug; upstream_status=in_progress;
name=rl_sysfs; type=bug; upstream_status=NA;
name=rocev1_compat_gid; type=feature; upstream_status=NA;
name=mlx5_en_page_reuse; type=feature; upstream_status=in_progress;
name=mlx4_raw_ib_dev; type=feature; upstream_status=in_progress;
name=mlx4_ib_misc; type=feature; upstream_status=NA;
name=mlx5_eeh_save_pci_state; type=bug; upstream_status=in_progress;
name=mlx5_eeh_reclaim_page; type=bug; upstream_status=in_progress;
