sep=;
Change-Id=I5d8bea5132a1d7726f41c5711b0436a1661bc599; subject=IB/mlx5: Move mr cache control files to sysfs; feature=mr_cache sysfs; upstream_status=in_progress; general=;
Change-Id=I9347daa4fd4830784b6ae61010c188b68178a4e7; subject=IB/mlx5: Improve memory registration time for large regions; feature=large MR registration optimization; upstream_status=in_progress; general=;
Change-Id=Ia6dcdd4d6ae33d52942142423a6d451c7063ef09; subject=IB/mlx4: add blue flame support for kernel consumers; feature=mlx4_ib_kernel_bf; upstream_status=NA; general=;
Change-Id=Ib9cc6e4360d86641addd69b0cc2984f425d65038; subject=IB/mlx5: Add support for NOP work request; feature=nop_wr; upstream_status=NA; general=;
Change-Id=Iaef60ab66f00560d3fd6021091b3fcf61a2eafc6; subject=net/mlx5_core: Add icmd support; feature=mlx5_capi_v2; upstream_status=NA; general=;
Change-Id=I7c05283dd9de74358566807886c8ebeb1b8ae81e; subject=net/mlx5_core: Implement query icmd capabilities; feature=mlx5_capi_v2; upstream_status=NA; general=;
Change-Id=Iced5ae99190e4eae4d1e2fda5282845d383ede7e; subject=net/mlx5_core: Implement icmd access register; feature=mlx5_capi_v2; upstream_status=NA; general=;
Change-Id=I70a757e49d52299c86f8bff2a66ad937914fd71f; subject=IB/core: Add invalidate range callback; feature=mlx5_capi_v2; upstream_status=NA; general=;
Change-Id=If752ae0c57560d948297225734ebbf02bbae5468; subject=mlx5: CAPI implementation; feature=mlx5_capi_v2; upstream_status=NA; general=;
Change-Id=I1824d834f3c0c4c42401404260c3570797207d47; subject=mlx5_core: Support capi invalidation; feature=mlx5_capi_v2; upstream_status=NA; general=;
Change-Id=Ie345cc567bde46eab5836bf2dc58b4e2a0dd7693; subject=IB/mlx5: Control TLBi globalization; feature=mlx5_capi_v2; upstream_status=NA; general=;
Change-Id=I4e6fe9573a3b96e82a507153c2defbad3252e4eb; subject=net/mlx5_core: Fix call to schedule_work; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=I8d0c8df210d3f2852e3c873929a40a409c055857; subject=net/mlx5: Eswitch, avoid using work queue on direct devlink invocation; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=I1cbe42966116db5221370a1b92af70b6d31774bb; subject=net/mlx5: Change flow_flags to u32 to avoid overflow; feature=mlx5_asap; upstream_status=ignore; general=;
Change-Id=Ic6c46469d910eef73d9d36ea631af7c6cfa6dd5c; subject=IB/mlx5: Add support for sync steering command; feature=devx; upstream_status=in_progress; general=;
Change-Id=Ie79b7bd06e1d03b5d8754015c4da6bdd204f7495; subject=net/mlx5_core: Eswitch, use dynamic alloction for spec; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=I0eb62c09cf4a4fe76d2262c35ed70bffcb298d6f; subject=net/mlx5_core: Eswitch, fix use befroe initialized; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=I70314d9a1ff0863879a59686ae4dcb16cb6a2d68; subject=net/mlx5_core: Eswitch, remove unused variable; feature=mlx5_asap; upstream_status=NA; general=;
Change-Id=I13c63d98e71f35217ca292bc45ef7b9769cd5237; subject=Backports: Add missing cls_api functionality; feature=backports; upstream_status=ignore; general=;
Change-Id=Ie41dd38848be8c10925ed7029a4cd146f3be97e2; subject=BACKPORT: en_tc till 5.0; feature=backports; upstream_status=ignore; general=;
Change-Id=I7a40287dc09667f37f867ae56ff85d8afcbaa29b; subject=Backports: Fix allocation size; feature=backports; upstream_status=ignore; general=;
Change-Id=I71ee75f245b62d4eeff9ff38ea582ff792133bf0; subject=compat: Add support for police if defined; feature=backports; upstream_status=ignore; general=;
Change-Id=I9b031c526916b7ad746df1290998fcbc459d87ea; subject=Backports: Only use netdev switchdev_ops if defined; feature=backports; upstream_status=ignore; general=;
Change-Id=If19c3b95139f50bbdfca06db6a434ba62c106ae1; subject=Backports: Fix backporing of switchdev_port_same_parent_id; feature=backports; upstream_status=ignore; general=;
Change-Id=Iffee52f8770bced07dcffbba3eb5478c1cff8a5d; subject=Backports: Fix implementation of tcf_mirred_dev; feature=backports; upstream_status=NA; general=;
Change-Id=I1d13bdab0f1fa83a9626cc8b83ae4210f0c22f67; subject=Backports: Fix egress_dev indication for old kernels; feature=backports; upstream_status=ignore; general=;
Change-Id=Ie424527346afc513c0dc86ad11610c94aa1a99c4; subject=Backports: Fix warning messages; feature=backports; upstream_status=ignore; general=;
Change-Id=I826c14b1cf6f5d66ce02b8fec38422e4ff1431d2; subject=Backports: Remove unused file; feature=backports; upstream_status=NA; general=;
Change-Id=I21bf5a5f0e739c899f7a0d8d2fa640b077b61a10; subject=Backports: Implement HAVE_IS_TCF_TUNNEL; feature=backports; upstream_status=ignore; general=;
Change-Id=Ia615f382a8bed1ed6554abfe98d0d21eaa63b15d; subject=Add GRE support for kernel 4.14; feature=backports; upstream_status=NA; general=;
Change-Id=If4d04d1ddbd9a7faae5dc64d59685600d8f9f727; subject=Backports: Avoid use of local varaible in deffered code; feature=backports; upstream_status=ignore; general=;
