sep=;
Change-Id=I71afc60159d7fcd89083d2d3f6f4bb053667b7d7; subject=IB/mlx5: Add vlan-offloads to create WQ; feature=vlan_offloads; upstream_status=NA; general=;
Change-Id=I2b49b432750b38237439d35baa639a9ca58a15ea; subject=IB/mlx5: Add vlan offloads to modify wq; feature=vlan_offloads; upstream_status=NA; general=;
Change-Id=Iaeea69d2ab0c67bec1e8ed725dd41cb59f8b44b9; subject=IB/core: Add end of RX padding; feature=rx_padding; upstream_status=NA; general=;
Change-Id=I74a95983fbf0469343e6eb61c3d1d43d6967534f; subject=IB/mlx5: Add end of RX padding; feature=rx_padding; upstream_status=NA; general=;
Change-Id=Ib54e6b0a8b898412789b1fc6a61dd3840248a400; subject=IB/core: Add erasure coding experimental user verbs API; feature=ec; upstream_status=NA; general=;
Change-Id=I24f73f1c5a72328bb7a2ea833cb29ea5988ef0e6; subject=IB/mlx5: Expose erasure coding capabilities; feature=ec; upstream_status=NA; general=;
Change-Id=Ia0eb1f956de6a90ae8b0570c847957368eb12d19; subject=IB/mlx5: add vlan insertion to experimental query device; feature=vlan_insertion; upstream_status=NA; general=;
Change-Id=Ia7b7049662141a3bfc2f34fa0ade5e312735d1c5; subject=IB/mlx5: Add TCP-UDP packet type to experimental query device; feature=checksum_offload; upstream_status=NA; general=;
Change-Id=Ia4fd4a652dfe119fcfbcfb13fc4f3f20a9a09ac2; subject=IB/mlx4: Support EXP create flow; feature=exp_create_flow; upstream_status=NA; general=;
Change-Id=I1489456b3a37d08b481521eab728680f22c98aa1; subject=IB/core: Avoid address vector port access; feature=DC; upstream_status=NA; general=;
Change-Id=Idc7fe168d8d0824680e4f669964f5e6024c29637; subject=IB/core: Initialize exp modify qp cmd struct; feature=mlx5_exp_packet_pacing; upstream_status=NA; general=;
Change-Id=I595c640239d766009506452711818be855ab13cd; subject=IB/core: Support experimental packet pacing; feature=mlx5_exp_packet_pacing; upstream_status=NA; general=;
Change-Id=Ic14ce6b9a2e178d0ef4cf36075bf57195e10fe78; subject=net/mlx4_core: Add handlning of R-RoCE over IPV4 in qp attach flow; feature=mlx4_rocev2_for_upstream; upstream_status=in_progress; general=;
Change-Id=If845c7e8d6da9f082af6bdd510e6fbf719973846; subject=IB/mlx5: Allow query HCA clock only when page size is less equals 4K; feature=TS; upstream_status=NA; general=;
Change-Id=I33e6ded8660938ebc95140bca480976a17348beb; subject=IB/mlx4: QP should register to mcast for all ports if its port is unknown; feature=mlx4_flow_spec_gap; upstream_status=NA; general=;
Change-Id=Ibfc6623ec56c9304466bdb5621845bd7d46b1a87; subject=IB/uverbs: Add exp create qp missing code; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=Id916bd9352e3814c903b394accced52ef84970d8; subject=IB/umem: Add debug prints in error flow; feature=umem_debug_prints; upstream_status=NA; general=;
Change-Id=I141f1093478600575e2f1a6692d2edb88911bda8; subject=net/mlx5: Return success on disable DC cnak trace in internal error; feature=DC_tracer; upstream_status=NA; general=;
Change-Id=I27b72b29dd15c158adf69df56877009ed9f86a1e; subject=IB/mlx5: Report that EXP RAW ETH QP supports in MP RQ; feature=mp_rq; upstream_status=NA; general=;
Change-Id=I7baa803e38bc66bc3aab942843261aa5dd3528e1; subject=net/mlx5: Add hold/put rules refcount API; feature=roce_sniffer; upstream_status=NA; general=;
Change-Id=Ia289e1bc7a6e430fc4c4c3d251cbcb3ae8697d14; subject=net/mlx5: Add support to add/del flow rule notifiers; feature=roce_sniffer; upstream_status=NA; general=;
Change-Id=Id83f4a859223c79af6e92fdeb4f192104774a6d3; subject=net/mlx5: Introduce get flow rule spec API; feature=roce_sniffer; upstream_status=NA; general=;
Change-Id=I5f20f2f477ef0b18415bee6529229a83ec902cd8; subject=IB/mlx5: Add kernel offload flow-tag; feature=roce_sniffer; upstream_status=NA; general=;
Change-Id=Id48b7adddfc7eee06132a7f9b350b1daa60e1207; subject=net/mlx5e: Set skb->protocol to 0xFFFF for sniffer packets; feature=roce_sniffer; upstream_status=NA; general=;
Change-Id=I5e0e19590e4794ae58937373eb711ad80752dc7b; subject=net/mlx5e: Add sniffer private flag to ethtool; feature=roce_sniffer; upstream_status=NA; general=;
Change-Id=I3d2ca70a403c73b87781fa332a0778ee2983d063; subject=net/mlx5_core: Add debugfs for flow steering; feature=mlx5_fs_debugfs; upstream_status=NA; general=;
Change-Id=I06130e6970267b9cb4c6653dc06884461d7fc2a0; subject=IB/mlx5: Enable multi-packet WQE for raw eth qp; feature=exp_mp_wqe; upstream_status=NA; general=;
Change-Id=I6196dfa3b507fba56db695798562457efa686c8a; subject=IB/mlx5: Add EXP max_device_ctx; feature=max_device_ctx; upstream_status=rejected; general=;
Change-Id=Iad612104bf8196f235265dcc85cc395ad2dbea93; subject=net/mlx5: Add new profile without dct enable; feature=mlx5_fast_driver_unload; upstream_status=NA; general=;
Change-Id=I191b11e7ab5a573ea7cc41d81c0b4f78b1eeaf9e; subject=IB/mlx5: Add support to EXP dropless RQ; feature=mlx5_dropless_rq; upstream_status=NA; general=;
Change-Id=I6b3f657e0c89683ff7c0ef08b8bfd122abaa23f7; subject=net/mlx5: Init completion before notify on delete rule; feature=roce_sniffer; upstream_status=NA; general=;
Change-Id=I05a006613de8b97e937ddb6773ebef88311aa623; subject=IB/core: Add EXP tunneling offloads support; feature=mlx5_tunnel_offloads; upstream_status=NA; general=;
Change-Id=I77cba97a01f7de3796350361ac34b3366128edc7; subject=IB/mlx5: Add EXP tunneling offloads support; feature=mlx5_tunnel_offloads; upstream_status=NA; general=;
Change-Id=I56bdd02726927ffb7e16c4b3166998edd47ffd78; subject=IB/mlx5: Add EXP support in inner RSS; feature=mlx5_tunnel_offloads; upstream_status=NA; general=;
Change-Id=I546cef3f0ea7bdee9d6125c0da0a919dd22d7983; subject=net/mlx5: Create flow steering cache with unique device name; feature=update_rate; upstream_status=NA; general=;
Change-Id=I583db38e7b9e4948b5c087edaddbe5f95c2abd89; subject=IB/mlx5: Report missing RSS inner capability; feature=mlx5_tunnel_offloads; upstream_status=NA; general=;
Change-Id=Iab7d25cfa9390e79ea49f76f9b42c02975a5e0d5; subject=IB/mlx5: Add ingress_log_flow_table_size sysfs; feature=50k_rules; upstream_status=NA; general=;
Change-Id=I7771ffab7493ab9e1a567d7674f39d2b4eb03745; subject=net/mlx5: Eswitch, expose eswitch encap mode; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=Ifddf7f229b50aa4a44d7db69ea847f4ac790778b; subject=RDMA/mlx5: Consider eswitch encap mode; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I507869cf9c2a7b6e21989735aa8e527d08ce60cb; subject=RDMA/mlx5: Check esw encap in switchdev only; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I2669dfcaa930f518cf357cbcb710544fb5cbb191; subject=net/mlx5: Fix possible deadlock in fs_core; feature=roce_sniffer; upstream_status=NA; general=;
Change-Id=If8d542f0f4cf3249f8f7cff169442bc5f3e036c5; subject=IB/mlx5: Fix rule of DROP + COUNT; feature=ib_core_bugs; upstream_status=in_progress; general=;
